Metro Code,CSA Code,Metro Name,CSA Title,County Name,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
10100,,"Aberdeen, SD",,Brown County,South Dakota,46,13,Central
10100,,"Aberdeen, SD",,Edmunds County,South Dakota,46,45,Outlying
10140,,"Aberdeen, WA",,Grays Harbor County,Washington,53,27,Central
10180,,"Abilene, TX",,Callahan County,Texas,48,59,Outlying
10180,,"Abilene, TX",,Jones County,Texas,48,253,Outlying
10180,,"Abilene, TX",,Taylor County,Texas,48,441,Central
10220,,"Ada, OK",,Pontotoc County,Oklahoma,40,123,Central
10300,220,"Adrian, MI","Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,91,Central
10380,,"Aguadilla-Isabela, PR",,Aguada Municipio,Puerto Rico,72,3,Central
10380,,"Aguadilla-Isabela, PR",,Aguadilla Municipio,Puerto Rico,72,5,Central
10380,,"Aguadilla-Isabela, PR",,Añasco Municipio,Puerto Rico,72,11,Central
10380,,"Aguadilla-Isabela, PR",,Isabela Municipio,Puerto Rico,72,71,Central
10380,,"Aguadilla-Isabela, PR",,Lares Municipio,Puerto Rico,72,81,Central
10380,,"Aguadilla-Isabela, PR",,Moca Municipio,Puerto Rico,72,99,Central
10380,,"Aguadilla-Isabela, PR",,Rincón Municipio,Puerto Rico,72,117,Central
10380,,"Aguadilla-Isabela, PR",,San Sebastián Municipio,Puerto Rico,72,131,Central
10380,,"Aguadilla-Isabela, PR",,Utuado Municipio,Puerto Rico,72,141,Central
10420,184,"Akron, OH","Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,Central
10420,184,"Akron, OH","Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153,Central
10460,,"Alamogordo, NM",,Otero County,New Mexico,35,35,Central
10500,,"Albany, GA",,Dougherty County,Georgia,13,95,Central
10500,,"Albany, GA",,Lee County,Georgia,13,177,Central
10500,,"Albany, GA",,Terrell County,Georgia,13,273,Outlying
10500,,"Albany, GA",,Worth County,Georgia,13,321,Outlying
10540,440,"Albany-Lebanon, OR","Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,43,Central
10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Albany County,New York,36,1,Central
10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Rensselaer County,New York,36,83,Central
10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Saratoga County,New York,36,91,Central
10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Schenectady County,New York,36,93,Central
10580,104,"Albany-Schenectady-Troy, NY","Albany-Schenectady, NY",Schoharie County,New York,36,95,Outlying
10620,172,"Albemarle, NC","Charlotte-Concord, NC-SC",Stanly County,North Carolina,37,167,Central
10660,,"Albert Lea, MN",,Freeborn County,Minnesota,27,47,Central
10700,,"Albertville, AL",,Marshall County,Alabama,1,95,Central
10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Bernalillo County,New Mexico,35,1,Central
10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Sandoval County,New Mexico,35,43,Central
10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Torrance County,New Mexico,35,57,Outlying
10740,106,"Albuquerque, NM","Albuquerque-Santa Fe-Las Vegas, NM",Valencia County,New Mexico,35,61,Outlying
